# STATION: 007HI
# STATION NAME: Laupahoehoe
# LATITUDE: 19.93200
# LONGITUDE: -155.29100
# ELEVATION [ft]: 3776.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
007HI,2024-01-15T14:35:00Z,12.211,80.88,0.283,171.7,0.0,,,0.0,,,,,0.12,0.0,0.0,,S,,8.99
007HI,2024-01-15T14:40:00Z,12.239,83.42,0.231,180.8,0.0,,,0.0,,,,12.13,0.18,0.0,0.0,,S,,9.48
007HI,2024-01-15T14:45:00Z,12.439,86.42,0.612,173.7,0.0,,,0.0,,,,,0.37,0.0,0.0,,S,,10.21
007HI,2024-01-15T14:50:00Z,12.489,65.41,0.962,162.1,0.0,,,0.0,,,,12.12,1.09,0.0,0.0,,SSE,,6.12
007HI,2024-01-15T14:55:00Z,13.683,54.01,0.746,165.4,0.0,,,0.0,,,,,1.66,0.0,0.0,,SSE,,4.47
007HI,2024-01-15T15:00:00Z,14.256,52.21,0.334,93.1,0.0,,,0.0,,,,12.22,1.82,0.0,0.0,,E,,4.52
007HI,2024-01-15T15:05:00Z,14.272,51.26,0.139,124.6,0.0,,,0.0,,,,,1.27,0.0,0.0,,SE,,4.27
007HI,2024-01-15T15:10:00Z,14.122,50.4,0.777,153.6,0.0,,,0.0,,,,12.13,0.68,0.0,0.0,,SSE,,3.89
007HI,2024-01-15T15:15:00Z,14.261,48.97,0.839,166.5,0.0,,,0.0,,,,,0.56,0.0,0.0,,SSE,,3.6
007HI,2024-01-15T15:20:00Z,14.283,48.87,0.926,166.7,0.0,,,0.0,,,,12.17,0.34,0.0,0.0,,SSE,,3.59
007HI,2024-01-15T15:25:00Z,14.272,51.11,0.458,126.5,0.0,,,0.0,,,,,0.88,0.0,0.0,,SE,,4.23
007HI,2024-01-15T15:30:00Z,14.417,52.31,0.376,296.3,0.0,,,0.0,,,,12.22,1.85,0.0,0.0,,WNW,,4.69
007HI,2024-01-15T15:35:00Z,14.461,49.54,1.291,206.3,0.0,,,0.0,,,,,1.36,0.0,0.0,,SSW,,3.95
007HI,2024-01-15T15:40:00Z,14.017,48.92,1.847,201.7,0.0,,,0.0,,,,12.21,0.24,0.0,0.0,,SSW,,3.36
007HI,2024-01-15T15:45:00Z,13.539,52.6,2.819,201.0,0.0,,,0.0,,,,,0.0,0.0,0.0,,SSW,,3.96
007HI,2024-01-15T15:50:00Z,13.483,52.2,2.361,194.0,0.0,,,0.0,,,,12.21,0.9,0.0,0.0,,SSW,,3.79
007HI,2024-01-15T15:55:00Z,14.289,49.87,2.145,196.2,0.0,,,0.0,,,,,1.39,0.0,0.0,,SSW,,3.89
